commentId,text,date
974595924,泸州老窖疫情后进入快车道：第三季度营收和净利同比双位数增长,10-29 13:58
974566231,卧槽要破板？,10-29 13:55
974558453,170已到。,10-29 13:44
974558453,170已到。,10-29 13:42
974557245,求见解，002806泉峰特四拉可不可以买？,10-29 13:42
974555549,谎言……终会溃坝,10-29 13:39
974554868,真是一只好股，想走的能走，想进的给你进,10-29 13:38
974554568,卖不卖啊,10-29 13:37
974552502,明天大跌[好困惑][好困惑][好困惑][好困惑],10-29 13:34
974551833,沪州老窖，酱香鼻祖,10-29 13:32
974551335,https://mbd.baidu.com/newspage/data/land,10-29 13:32
329226470,泸州老窖业绩“炸裂”，能代替茅台成新龙头吗，市值将上1万亿？,10-29 13:29
974549087,今天的龙头,10-29 13:28
974546609,撤单了！哈哈哈,10-29 13:24
974546404,2020年三季报快评：国窖引领增长，业绩超预期,10-29 13:24
974544923,想骗筹码，等200以后给你,10-29 13:21
974544871,老窖三季报亮出好业绩，有没持续性让我长相守？泸州老窖去年三季报亮出惊喜成绩，有些,10-29 13:21
974544548,终于出了！！[呲牙][呲牙][呲牙],10-29 13:21
974544454,昨天卖飞了留下的发财破200,10-29 13:21
974544197,继续预测，明天老窖还会有一个涨停,10-29 13:20
974543615,求见解，002806和比亚迪谁的反弹力度会更好？,10-29 13:20
974543615,求见解，002806和比亚迪谁的反弹力度会更好？,10-29 13:19
974543615,求见解，002806和比亚迪谁的反弹力度会更好？,10-29 13:19
974542980,涨停打开让短线客走，看好的上车,10-29 13:18
974542693,明天再来一波涨停，看好你[鼓掌],10-29 13:17
